Link,ชื่อ,ผู้ว่าจ้าง,แฟลตฟอร์ม,บริการ,ราคา,ยอดเดิม,ยอดรวม,เพิ่มฟอลต่างาชาติ,แถม,ทำไปแล้ว,คงเหลือต่างชาติ,เพิ่มฟอลไทย,แถม,ทำไปแล้ว,คงเหลือไทย,วันที่เริ่ม,วันที่สิ้นสุด,เวลาที่ใช้ไป,สถานะ,หมายเหตุ,,ค่าใช่จ่าย
https://www.instagram.com/maymiigfl?igsh=NzJzbW04dmRkN3ds&utm_source=qr,,,ig : ฟอล,ต่างชาติ,,"2,602","5,202",2100,500,,,,,,,5/11/2025,5/11/2025,1,เสร็จสิ้นปิดงานแล้ว,,12578,2.57817
https://www.instagram.com/jp_jannii?igsh=NWF6bWd6ZGIyNDRz&utm_source=qr,,,ig : ฟอล,ผสม,,15,"1,865",1100,500,,,200,50,,,14/11/2025,,,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/evethitapa?igsh=MWNkNDUwNW9qaGl4MA%3D%3D&utm_source=qr,,,ig : ฟอล,ต่างชาติ,,1238,6738,5000,500,,,,,,,24/11/2025,,,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/aispecialist.th,,,ig : ฟอล,ไทย,,2,3402,,,,,3100,300,,,11/12/2025,,,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/natachaseq?igsh=MWE3cnk4cDNiZ3RlZA==,natachaseq,https://chat.fastwork.co/message/UH0JVU5V,ig : ฟอล,ผสม,350,789,2239,1200,,1230,-30,250,,250,0,1/3/2026,22/3/2026,22,เสร็จสิ้นปิดงานแล้ว,ทยอยทำ,https://smmgen.com/?service=7415,
https://www.instagram.com/voyade.official?igsh=MXJ2aXcwY3V2aDA2aA==,voyade.official,https://chat.fastwork.co/message/OPY7DB2U,ig : ฟอล,ต่างชาติ,700,7,5807,5300,500,7000,-1200,,,,0,9/3/2026,11/3/2026,3,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/pkmnnd?igsh=MXd6eG92dG45cDUzZg%3D%3D&utm_source=qrr,pkmnn,https://chat.fastwork.co/message/1T5AXEDU,ig : ฟอล,ไทย,350,305,805,,,,0,450,50,455,45,9/3/2026,11/3/2026,3,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/voyade.cn?igsh=MWRzZDdjbWl1c3h6Zw%3D%3D&utm_source=qr,voyade.cn,https://chat.fastwork.co/message/5B3MGSRH,ig : ฟอล,ต่างชาติ,350,5,2505,2300,200,2600,-100,,,,0,9/3/2026,11/3/2026,3,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/k._kanoon?igsh=eHU2MWhucnVjempt&utm_source=qr,k._kanoo,https://chat.fastwork.co/message/D6RVOWMC,ig : ฟอล,ต่างชาติ,350,1006,3506,2300,200,2600,-100,,,,0,9/3/2026,15/3/2026,7,เสร็จสิ้นปิดงานแล้ว,ทยอยทำ,https://smmgen.com/?service=7415,
https://www.instagram.com/kungdeseoul.surgery?igsh=bnRjOXUwbmQ0bzkz&utm_source=qr,kungdeseoul.surger,https://chat.fastwork.co/message/PBZKVWFT,ig : ฟอล,ผสม,1300,11,5011,4300,,5300,-1000,700,,700,0,10/3/2026,15/3/2026,6,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/parimm_pim?igsh=dnNtNm54cWlqdWt4&utm_source=qr,parimm_pim,https://chat.fastwork.co/message/TIMWFPRO,ig : ฟอล,ไทย,350,5684,6184,,,,0,450,50,500,0,10/3/2026,11/3/2026,2,เสร็จสิ้นปิดงานแล้ว,,,
https://www.tiktok.com/@pimpimparimm?_r=1&_t=ZS-94ZK54B2XoL,pimpimparimm,https://chat.fastwork.co/message/6G8GYMKD,tiktok : ตต,ต่างชาติ,350,4143,6643,2000,500,"1,653",847,,,,0,10/3/2026,15/3/2026,6,เสร็จสิ้นปิดงานแล้ว,,https://smmgen.com/?service=7415,
https://www.instagram.com/pkmnnd?igsh=MXd6eG92dG45cDUzZg%3D%3D&utm_source=qrr,pkmnn,https://chat.fastwork.co/message/3KQR970U,ig : ฟอล,ไทย,700,670,1620,,,,0,850,100,960,-10,11/3/2026,12/3/2026,2,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/sbaii?igsh=emh0M2lwejE1ZTE2,sbaii,https://chat.fastwork.co/message/1H0PS85G,ig : ฟอล,ไทย,1000,9048,10548,,,,0,1400,100,1502,-2,13/3/2026,25/3/2026,13,เสร็จสิ้นปิดงานแล้ว,ทยอยทำ,,
https://www.instagram.com/p/DVvRv9OkkfL/,sbaii,https://chat.fastwork.co/message/J46C5AO6,ig : ไลค์,ผสม,700,161,361,170,,220,-50,30,,30,0,13/3/2026,25/3/2026,13,เสร็จสิ้นปิดงานแล้ว,,https://smmgen.com/?service=7385,
https://www.instagram.com/p/DVoF12JEu5-/?img_index=1,sbaii,https://chat.fastwork.co/message/J46C5AO6,ig : ไลค์,ผสม,,94,294,170,,220,-50,30,,30,0,13/3/2026,26/3/2026,14,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/p/DVVoeGkkhbJ/,sbaii,https://chat.fastwork.co/message/J46C5AO6,ig : ไลค์,ผสม,,41,241,170,,220,-50,30,,30,0,13/3/2026,27/3/2026,15,เสร็จสิ้นปิดงานแล้ว,,,
https://www.instagram.com/p/DUvc-i1Eq6A/?img_index=1,sbaii,https://chat.fastwork.co/message/J46C5AO6,ig : ไลค์,ผสม,,100,300,170,,220,-50,30,,30,0,13/3/2026,28/3/2026,16,เสร็จสิ้นปิดงานแล้ว,,,
